Bag Barcode,Batch No,Entry Date,Shift,Machine,Part No / Code,Bag Type,Weight (kg),Approx Qty,Sheet Status,Trim Required (Part Master),Trim Logged?,Inspection Logged?,Packing Logged?,Current Lifecycle Status,Next Stage / Availability
"34240826A-001","34240826A","2026-08-24","A","HSIM - 04","LBC","PART",7.1,993,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"34240826A-002","34240826A","2026-08-24","A","HSIM - 04","LBC","PART",8.5,1189,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"34240826A-003","34240826A","2026-08-24","A","HSIM - 04","LBC","PART",5.87,821,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"34240826A-R01","34240826A","2026-08-24","A","HSIM - 04","LBC","RUNNER",3.88,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"34240826A-R02","34240826A","2026-08-24","A","HSIM - 04","LBC","RUNNER",2.43,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"4240826A-001","4240826A","2026-08-24","A","HSIM - 05","F442 KQ","PART",6.25,1443,"INSPECTED",YES,NO,NO,NO,"INSPECTED","Ready for Packing Stage"
"4240826A-002","4240826A","2026-08-24","A","HSIM - 05","F442 KQ","PART",5.93,1370,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"4240826A-003","4240826A","2026-08-24","A","HSIM - 05","F442 KQ","PART",5.17,1194,"TRIMMED",YES,NO,NO,NO,"TRIMMED","Ready for Inspection Stage"
"4240826A-R01","4240826A","2026-08-24","A","HSIM - 05","F442 KQ","RUNNER",3.11,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"29240826A-001","29240826A","2026-08-24","A","VSIM - 01","2800","PART",4.87,2155,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"29240826A-002","29240826A","2026-08-24","A","VSIM - 01","2800","PART",4.27,1889,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"29240826A-003","29240826A","2026-08-24","A","VSIM - 01","2800","PART",4.89,2164,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"29240826B-001","29240826B","2026-08-24","B","VSIM - 01","2800","PART",4.35,1582,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"29240826B-002","29240826B","2026-08-24","B","VSIM - 01","2800","PART",4.59,1669,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"29240826B-003","29240826B","2026-08-24","B","VSIM - 01","2800","PART",4.73,1720,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"29240826B-004","29240826B","2026-08-24","B","VSIM - 01","2800","PART",5.3,1927,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"18240826B-001","18240826B","2026-08-24","B","VIM - 02","QQVBA W","PART",4.79,2083,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"18240826B-002","18240826B","2026-08-24","B","VIM - 02","QQVBA W","PART",1.48,643,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"30250826A-001","30250826A","2026-08-25","A","HSIM - 02","VPAA","PART",1.67,668,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35250826A-001","35250826A","2026-08-25","A","HSIM - 03","LAC Blue","PART",10.33,2327,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35250826A-002","35250826A","2026-08-25","A","HSIM - 03","LAC Blue","PART",10,2252,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35250826A-003","35250826A","2026-08-25","A","HSIM - 03","LAC Blue","PART",9.61,2164,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35250826A-R01","35250826A","2026-08-25","A","HSIM - 03","LAC Blue","RUNNER",9.69,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"7250826A-001","7250826A","2026-08-25","A","HSIM - 02","F710","PART",8.5,2471,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"7250826A-002","7250826A","2026-08-25","A","HSIM - 02","F710","PART",2.66,773,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"7250826A-R01","7250826A","2026-08-25","A","HSIM - 02","F710","RUNNER",1.3,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"35250826B-001","35250826B","2026-08-25","B","HSIM - 03","LAC Blue","PART",9.95,2241,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35250826B-002","35250826B","2026-08-25","B","HSIM - 03","LAC Blue","PART",10.44,2351,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35250826B-003","35250826B","2026-08-25","B","HSIM - 03","LAC Blue","PART",11.38,2563,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35250826B-004","35250826B","2026-08-25","B","HSIM - 03","LAC Blue","PART",13.53,3047,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35250826B-005","35250826B","2026-08-25","B","HSIM - 03","LAC Blue","PART",13.06,2941,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35250826B-006","35250826B","2026-08-25","B","HSIM - 03","LAC Blue","PART",10.92,2459,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35250826B-R01","35250826B","2026-08-25","B","HSIM - 03","LAC Blue","RUNNER",4.8,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"35250826B-R02","35250826B","2026-08-25","B","HSIM - 03","LAC Blue","RUNNER",15.7,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"34250826A-001","34250826A","2026-08-25","A","HSIM - 04","LBC","PART",7.25,1014,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"34250826A-002","34250826A","2026-08-25","A","HSIM - 04","LBC","PART",6.38,892,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"34250826A-003","34250826A","2026-08-25","A","HSIM - 04","LBC","PART",6.62,926,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"34250826A-R01","34250826A","2026-08-25","A","HSIM - 04","LBC","RUNNER",4.33,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"34250826A-R02","34250826A","2026-08-25","A","HSIM - 04","LBC","RUNNER",1.76,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"29250826A-001","29250826A","2026-08-25","A","VSIM - 01","2800","PART",1.26,462,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"28250826A-001","28250826A","2026-08-25","A","VSIM - 01","2200","PART",4.02,2481,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"28250826A-002","28250826A","2026-08-25","A","VSIM - 01","2200","PART",1.08,667,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"28250826A-003","28250826A","2026-08-25","A","VSIM - 01","2200","PART",1.09,673,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"28250826A-004","28250826A","2026-08-25","A","VSIM - 01","2200","PART",0.99,611,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"28250826A-R01","28250826A","2026-08-25","A","VSIM - 01","2200","RUNNER",0.93,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"28250826B-001","28250826B","2026-08-25","B","VSIM - 01","2200","PART",6.9,4259,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"28250826B-002","28250826B","2026-08-25","B","VSIM - 01","2200","PART",2.96,1827,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"28250826B-003","28250826B","2026-08-25","B","VSIM - 01","2200","PART",2.13,1315,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"28250826B-R01","28250826B","2026-08-25","B","VSIM - 01","2200","RUNNER",2,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"8260826A-001","8260826A","2026-08-26","A","HSIM - 01","F885 Y","PART",5.43,1398,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"8260826A-002","8260826A","2026-08-26","A","HSIM - 01","F885 Y","PART",4.77,1228,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"8260826A-003","8260826A","2026-08-26","A","HSIM - 01","F885 Y","PART",5.18,1334,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"8260826A-004","8260826A","2026-08-26","A","HSIM - 01","F885 Y","PART",5.82,1499,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"8260826A-005","8260826A","2026-08-26","A","HSIM - 01","F885 Y","PART",1.87,482,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"30260826A-001","30260826A","2026-08-26","A","HSIM - 02","VPAA","PART",4.3,1755,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"30260826A-002","30260826A","2026-08-26","A","HSIM - 02","VPAA","PART",4.8,1959,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"30260826A-003","30260826A","2026-08-26","A","HSIM - 02","VPAA","PART",5.14,2098,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"30260826A-004","30260826A","2026-08-26","A","HSIM - 02","VPAA","PART",3.21,1310,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826A-001","35260826A","2026-08-26","A","HSIM - 03","LAC Blue","PART",9.76,2198,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826A-002","35260826A","2026-08-26","A","HSIM - 03","LAC Blue","PART",9.61,2164,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826A-003","35260826A","2026-08-26","A","HSIM - 03","LAC Blue","PART",9.57,2155,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826A-004","35260826A","2026-08-26","A","HSIM - 03","LAC Blue","PART",9.24,2081,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826A-005","35260826A","2026-08-26","A","HSIM - 03","LAC Blue","PART",10.02,2257,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826A-006","35260826A","2026-08-26","A","HSIM - 03","LAC Blue","PART",8.97,2020,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826A-007","35260826A","2026-08-26","A","HSIM - 03","LAC Blue","PART",7.09,1597,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826A-008","35260826A","2026-08-26","A","HSIM - 03","LAC Blue","PART",5.34,1203,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826A-R01","35260826A","2026-08-26","A","HSIM - 03","LAC Blue","RUNNER",9.66,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"35260826A-R02","35260826A","2026-08-26","A","HSIM - 03","LAC Blue","RUNNER",10.8,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"28260826A-001","28260826A","2026-08-26","A","VSIM - 01","2200","PART",2.91,1796,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"28260826A-002","28260826A","2026-08-26","A","VSIM - 01","2200","PART",0.6,370,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"28260826A-R01","28260826A","2026-08-26","A","VSIM - 01","2200","RUNNER",0.57,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"22260826A-001","22260826A","2026-08-26","A","VSIM - 01","VW DIA 16 - HW773A","PART",6.03,5025,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"22260826A-R01","22260826A","2026-08-26","A","VSIM - 01","VW DIA 16 - HW773A","RUNNER",1.97,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"35260826B-001","35260826B","2026-08-26","B","HSIM - 03","LAC Blue","PART",10.16,2288,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826B-002","35260826B","2026-08-26","B","HSIM - 03","LAC Blue","PART",9.88,2225,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826B-003","35260826B","2026-08-26","B","HSIM - 03","LAC Blue","PART",9.68,2180,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826B-004","35260826B","2026-08-26","B","HSIM - 03","LAC Blue","PART",9.85,2218,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826B-005","35260826B","2026-08-26","B","HSIM - 03","LAC Blue","PART",9.53,2146,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826B-006","35260826B","2026-08-26","B","HSIM - 03","LAC Blue","PART",9.84,2216,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826B-007","35260826B","2026-08-26","B","HSIM - 03","LAC Blue","PART",9.54,2149,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826B-008","35260826B","2026-08-26","B","HSIM - 03","LAC Blue","PART",5.72,1288,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35260826B-R01","35260826B","2026-08-26","B","HSIM - 03","LAC Blue","RUNNER",11.1,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"35260826B-R02","35260826B","2026-08-26","B","HSIM - 03","LAC Blue","RUNNER",10.97,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"22260826B-001","22260826B","2026-08-26","B","VSIM - 01","VW DIA 16 - HW773A","PART",7.95,6625,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"22260826B-002","22260826B","2026-08-26","B","VSIM - 01","VW DIA 16 - HW773A","PART",4.86,4050,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"22260826B-R01","22260826B","2026-08-26","B","VSIM - 01","VW DIA 16 - HW773A","RUNNER",4.23,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"8270826A-001","8270826A","2026-08-27","A","HSIM - 01","F885 Y","PART",4.9,1262,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"8270826A-002","8270826A","2026-08-27","A","HSIM - 01","F885 Y","PART",4.61,1187,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"8270826A-003","8270826A","2026-08-27","A","HSIM - 01","F885 Y","PART",5.87,1512,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"8270826A-004","8270826A","2026-08-27","A","HSIM - 01","F885 Y","PART",5.64,1452,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"8270826A-005","8270826A","2026-08-27","A","HSIM - 01","F885 Y","PART",4.65,1197,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"30270826A-001","30270826A","2026-08-27","A","HSIM - 02","VPAA","PART",5.45,2224,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"30270826A-002","30270826A","2026-08-27","A","HSIM - 02","VPAA","PART",5.69,2322,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"30270826A-003","30270826A","2026-08-27","A","HSIM - 02","VPAA","PART",4.45,1816,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"30270826A-004","30270826A","2026-08-27","A","HSIM - 02","VPAA","PART",2.61,1065,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35270826A-001","35270826A","2026-08-27","A","HSIM - 03","LAC Blue","PART",9.24,2081,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35270826A-002","35270826A","2026-08-27","A","HSIM - 03","LAC Blue","PART",9.53,2146,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"35270826A-003","35270826A","2026-08-27","A","HSIM - 03","LAC Blue","PART",9.37,2110,"INSPECTED",YES,NO,NO,NO,"INSPECTED","Ready for Packing Stage"
"35270826A-004","35270826A","2026-08-27","A","HSIM - 03","LAC Blue","PART",10.28,2315,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35270826A-005","35270826A","2026-08-27","A","HSIM - 03","LAC Blue","PART",11.09,2498,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35270826A-006","35270826A","2026-08-27","A","HSIM - 03","LAC Blue","PART",11.27,2538,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35270826A-007","35270826A","2026-08-27","A","HSIM - 03","LAC Blue","PART",10.94,2464,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35270826A-R01","35270826A","2026-08-27","A","HSIM - 03","LAC Blue","RUNNER",10.13,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"35270826B-001","35270826B","2026-08-27","B","HSIM - 03","LAC Blue","PART",10.12,2279,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35270826B-002","35270826B","2026-08-27","B","HSIM - 03","LAC Blue","PART",10.18,2293,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35270826B-003","35270826B","2026-08-27","B","HSIM - 03","LAC Blue","PART",10.03,2259,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35270826B-004","35270826B","2026-08-27","B","HSIM - 03","LAC Blue","PART",9.21,2074,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35270826B-005","35270826B","2026-08-27","B","HSIM - 03","LAC Blue","PART",9.86,2221,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35270826B-006","35270826B","2026-08-27","B","HSIM - 03","LAC Blue","PART",9.87,2223,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35270826B-007","35270826B","2026-08-27","B","HSIM - 03","LAC Blue","PART",8.94,2014,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35270826B-008","35270826B","2026-08-27","B","HSIM - 03","LAC Blue","PART",7.68,1730,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35270826B-R01","35270826B","2026-08-27","B","HSIM - 03","LAC Blue","RUNNER",17.58,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"35270826B-R02","35270826B","2026-08-27","B","HSIM - 03","LAC Blue","RUNNER",17.36,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"22270826A-001","22270826A","2026-08-27","A","VSIM - 01","VW DIA 16 - HW773A","PART",7.74,6450,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"22270826A-002","22270826A","2026-08-27","A","VSIM - 01","VW DIA 16 - HW773A","PART",4.17,3475,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"22270826A-R01","22270826A","2026-08-27","A","VSIM - 01","VW DIA 16 - HW773A","RUNNER",3.81,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"22270826B-001","22270826B","2026-08-27","B","VSIM - 01","VW DIA 16 - HW773A","PART",8.04,6700,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"22270826B-002","22270826B","2026-08-27","B","VSIM - 01","VW DIA 16 - HW773A","PART",4.48,3733,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"22270826B-R01","22270826B","2026-08-27","B","VSIM - 01","VW DIA 16 - HW773A","RUNNER",4.04,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"8280826A-001","8280826A","2026-08-28","A","HSIM - 01","F885 Y","PART",4.5,1159,"TRIMMED",YES,NO,NO,NO,"TRIMMED","Ready for Inspection Stage"
"30280826A-001","30280826A","2026-08-28","A","HSIM - 02","VPAA","PART",4.59,1873,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"30280826A-002","30280826A","2026-08-28","A","HSIM - 02","VPAA","PART",4.72,1927,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"30280826A-003","30280826A","2026-08-28","A","HSIM - 02","VPAA","PART",4.1,1673,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"30280826A-004","30280826A","2026-08-28","A","HSIM - 02","VPAA","PART",4.42,1804,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35280826A-001","35280826A","2026-08-28","A","HSIM - 03","LAC Blue","PART",11.8,2658,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"35280826A-R01","35280826A","2026-08-28","A","HSIM - 03","LAC Blue","RUNNER",17.57,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"35280826A-R02","35280826A","2026-08-28","A","HSIM - 03","LAC Blue","RUNNER",3.56,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"P1280826A-001","P1280826A","2026-08-28","A","HSIM - 03","PUNE B","PART",4.88,2068,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"P1280826A-R01","P1280826A","2026-08-28","A","HSIM - 03","PUNE B","RUNNER",1.95,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"P1280826B-001","P1280826B","2026-08-28","B","HSIM - 03","PUNE B","PART",5.21,2208,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"P1280826B-002","P1280826B","2026-08-28","B","HSIM - 03","PUNE B","PART",4.74,2008,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"P1280826B-003","P1280826B","2026-08-28","B","HSIM - 03","PUNE B","PART",4.29,1818,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"P1280826B-004","P1280826B","2026-08-28","B","HSIM - 03","PUNE B","PART",1.62,686,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"P1280826B-R01","P1280826B","2026-08-28","B","HSIM - 03","PUNE B","RUNNER",5.83,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"22280826B-001","22280826B","2026-08-28","B","VSIM - 01","VW DIA 16 - HW773A","PART",7.43,6192,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"22280826B-002","22280826B","2026-08-28","B","VSIM - 01","VW DIA 16 - HW773A","PART",6.5,5417,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"22280826B-R01","22280826B","2026-08-28","B","VSIM - 01","VW DIA 16 - HW773A","RUNNER",4.49,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"10290826A-001","10290826A","2026-08-29","A","HSIM - 01","AA02 Y","PART",6.11,3491,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"10290826A-002","10290826A","2026-08-29","A","HSIM - 01","AA02 Y","PART",2.41,1377,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"10290826A-R01","10290826A","2026-08-29","A","HSIM - 01","AA02 Y","RUNNER",3.31,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"30290826A-001","30290826A","2026-08-29","A","HSIM - 02","VPAA","PART",5.11,2086,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"30290826A-002","30290826A","2026-08-29","A","HSIM - 02","VPAA","PART",4.51,1841,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"30290826A-003","30290826A","2026-08-29","A","HSIM - 02","VPAA","PART",1.9,776,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"P1290826A-001","P1290826A","2026-08-29","A","HSIM - 03","PUNE B","PART",5.27,2233,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"P1290826A-002","P1290826A","2026-08-29","A","HSIM - 03","PUNE B","PART",5.72,2424,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"P1290826A-003","P1290826A","2026-08-29","A","HSIM - 03","PUNE B","PART",6.69,2835,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"P1290826A-R01","P1290826A","2026-08-29","A","HSIM - 03","PUNE B","RUNNER",4.7,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"P1290826A-R02","P1290826A","2026-08-29","A","HSIM - 03","PUNE B","RUNNER",1.8,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"P2290826B-001","P2290826B","2026-08-29","B","HSIM - 03","PUNE B","PART",5.39,2284,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"P2290826B-002","P2290826B","2026-08-29","B","HSIM - 03","PUNE B","PART",6.28,2661,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"P2290826B-003","P2290826B","2026-08-29","B","HSIM - 03","PUNE B","PART",1.12,475,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"P2290826B-R01","P2290826B","2026-08-29","B","HSIM - 03","PUNE B","RUNNER",4.64,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"20290826A-001","20290826A","2026-08-29","A","HSIM - 04","PDPKA","PART",6.18,662,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"20290826A-002","20290826A","2026-08-29","A","HSIM - 04","PDPKA","PART",6.46,692,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"20290826A-003","20290826A","2026-08-29","A","HSIM - 04","PDPKA","PART",3.05,327,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"20290826A-004","20290826A","2026-08-29","A","HSIM - 04","PDPKA","PART",1.34,143,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
"20290826A-R01","20290826A","2026-08-29","A","HSIM - 04","PDPKA","RUNNER",0.87,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"22290826A-001","22290826A","2026-08-29","A","VSIM - 01","VW DIA 16 - HW773A","PART",0.44,367,"OPEN",YES,NO,NO,NO,"OPEN","🟢 Ready for Trimming Stage"
"22290826A-R01","22290826A","2026-08-29","A","VSIM - 01","VW DIA 16 - HW773A","RUNNER",0.15,0,"OPEN",YES,NO,NO,NO,"OPEN","Runner Scrap Weighment"
"23290826A-001","23290826A","2026-08-29","A","VSIM - 01","VW DIA 8 - HW773B","PART",4.93,7995,"PACKED",YES,NO,NO,NO,"PACKED","Completed / Ready for Dispatch"
