Using SSH key from file C:\Users\KNALHOME\.ssh\id_ed25519_railway.pub: railway-backup-temp
Pager usage is off.
  id   |     part_code      |   erp_shrp_code    |   customer_part_no   | active | cavity_count | canon_cavity | part_weight_g | canon_weight | hist_total |          classification          |                                              reason                                              
  8985 | UMNAA              | UMNAA              | HC442UMNAA02         | t      |            6 |            6 |          3.56 |         3.56 |         10 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=UMNAA; holds real history (prod=2 bags=8 mach=0 fpa=0)
  8986 | UMEAA              | UMEAA              | FC1F2UMEAA01         | t      |            4 |            4 |          2.57 |         2.57 |          9 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=UMEAA; holds real history (prod=2 bags=7 mach=0 fpa=0)
  8987 | NDGAA              | NDGAA              | FC1F2NDGAA02         | t      |            6 |            6 |             2 |            2 |          6 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=NDGAA; holds real history (prod=2 bags=4 mach=0 fpa=0)
  8988 | QVEAC              | QVEAC              | HC442QVEAC01         | t      |            8 |            8 |          1.21 |         1.21 |         12 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=QVEAC; holds real history (prod=6 bags=6 mach=0 fpa=0)
  8990 | BH-DIA 16 - MAA    | BH-DIA 16 - MAA    | PLFC1E4K5MAA-00      | t      |            6 |            6 |          1.24 |         1.24 |         30 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=BH-DIA 16 - MAA; holds real history (prod=10 bags=20 mach=0 fpa=0)
  8996 | PUNE B             | PUNE B             | FC1E1BAE1D01         | t      |            6 |            6 |          2.36 |         2.36 |         51 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=PUNE B; holds real history (prod=14 bags=37 mach=0 fpa=0)
  8997 | PUNE S             | PUNE S             | HR241BAE1B01         | t      |            6 |            6 |             1 |            1 |         45 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=PUNE S; holds real history (prod=18 bags=27 mach=0 fpa=0)
  9003 | NA-DB              | NA-DB              | WC-SCP-SC21NA-DB-01  | t      |            4 |            4 |          2.68 |         2.68 |          9 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=NA-DB; holds real history (prod=2 bags=7 mach=0 fpa=0)
  9012 | ATBAB              | ATBAB              | F442-ATBAB-02        | t      |            2 |            2 |          3.63 |         3.63 |         18 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=ATBAB; holds real history (prod=5 bags=13 mach=0 fpa=0)
  9020 | 9AB                | 9AB                | VPR230-WC9AB-01      | t      |            4 |            4 |           3.1 |          3.1 |         21 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=9AB; holds real history (prod=6 bags=15 mach=0 fpa=0)
 25261 | QVEBC              | QVEBC              | HC442QVEBC01         | t      |            8 |            8 |           1.5 |          1.5 |          1 | CANONICAL_KEEP_UPDATE            | Matches ERP shrp_part_code=QVEBC; holds real history (prod=1 bags=0 mach=0 fpa=0)
